"measure","value"
"Total observations","344"
"Complete numerical observations","342"
"Observations with recorded sex","333"
"Male penguins","168"
"Observed male proportion","0.5045"
"T-test statistic","-23.386"
"T-test p-value","7.70982314514756e-65"
"Proportion test statistic","0.027"
"Proportion test p-value","0.869417060741239"
"Simple regression R-squared","0.759"
"Simple regression adjusted R-squared","0.7583"
"Multiple regression R-squared","0.7615"
"Multiple regression adjusted R-squared","0.7594"
"Preferred regression model","Multiple regression"
